CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,11,-,1,45.36,"1,445.00",34.00,780,"1,363.75","1,437.35",65,"22,400.00","5,070",1.40,1.65,390,-0.20,1.60,24.06,"3,00,291","3,102","24,703",
,5,-,-,60.32,"1,400.00",-,780,"1,318.25","1,421.65",780,"22,450.00","1,495",1.55,1.95,195,0.10,1.90,23.78,"84,771","3,037","4,809",
,"3,071",-123,"1,293",36.34,"1,319.70",-58.10,65,"1,321.00","1,327.10",130,"22,500.00","1,300",1.85,2.00,"1,755",0.10,2.00,23.13,"5,70,654","21,152","1,07,609",
,4,-,-,-,"1,639.65",-,780,"1,182.85","1,297.10",845,"22,550.00",390,1.85,2.00,"4,615",0.15,2.00,22.33,"94,882","2,253","4,653",
,30,-7,24,-,"1,190.00",-214.20,65,"1,213.30","1,231.25",65,"22,600.00",65,2.05,2.25,"1,755",0.05,2.00,21.52,"3,46,733","17,879","38,022",
,52,-,-,62.36,"1,260.95",-,780,"1,146.30","1,202.30",780,"22,650.00",65,1.95,2.35,65,0.40,2.50,21.34,"1,62,701","2,160","11,406",
,88,-1,27,30.90,"1,116.70",-68.30,65,"1,118.55","1,146.20",65,"22,700.00","1,365",2.20,2.75,390,0.40,2.55,20.57,"4,75,746","23,777","47,820",
,71,3,29,33.28,"1,080.25",-76.20,780,"1,046.85","1,090.95",65,"22,750.00",65,2.60,2.75,"1,690",0.40,2.75,19.95,"2,31,881","9,784","15,079",
,279,-56,169,30.51,"1,023.80",-56.65,65,"1,018.20","1,026.80",65,"22,800.00","1,235",2.60,3.10,975,0.60,3.05,19.40,"5,55,496","15,330","65,697",
,14,1,2,25.10,958.85,-195.65,65,957.95,995.15,65,"22,850.00",520,2.95,3.15,65,0.45,3.10,18.59,"2,12,228",644,"16,695",
,843,-4,149,27.19,920.00,-62.35,65,918.35,926.20,65,"22,900.00","1,755",3.25,3.90,"1,300",0.70,3.65,18.17,"4,36,529","16,257","42,523",
,23,1,21,21.63,855.05,-55.20,65,868.80,904.10,65,"22,950.00",390,3.55,4.25,650,0.35,3.60,17.26,"3,22,165","9,039","23,348",
,"7,358","-1,952","13,068",25.10,821.15,-50.00,260,821.25,826.85,65,"23,000.00","1,625",4.10,4.45,"1,690",0.60,4.40,16.92,"15,44,770","39,094","2,03,409",
,28,9,157,24.54,774.00,-49.05,65,768.45,781.20,195,"23,050.00",845,4.60,5.20,65,1.20,5.35,16.56,"4,17,654","7,165","19,037",
,754,39,"1,577",23.72,725.95,-53.35,65,720.05,729.70,65,"23,100.00",455,5.20,5.50,195,0.75,5.50,15.70,"7,39,782","14,327","52,869",
,127,86,923,21.86,673.00,-41.10,65,670.85,680.40,65,"23,150.00",65,5.80,6.35,130,0.70,6.10,15.04,"5,14,492","5,392","28,448",
,915,80,"7,968",21.22,626.10,-55.70,"1,755",624.65,628.00,325,"23,200.00",130,6.95,7.00,65,0.25,6.80,14.37,"10,89,296","26,712","93,459",
,232,2,"2,927",19.88,575.80,-58.35,260,574.45,578.45,325,"23,250.00",65,8.05,8.75,260,0.30,8.15,13.89,"6,35,978","16,267","36,594",
,"1,501",260,"25,267",19.18,529.15,-53.25,"1,560",527.40,530.15,325,"23,300.00",65,9.45,9.90,455,0.40,9.90,13.43,"13,81,336","45,255","1,19,895",
,"1,030",266,"12,006",18.15,481.00,-55.30,325,481.00,482.55,325,"23,350.00",520,11.75,12.45,520,0.75,12.50,13.08,"8,10,717","11,470","44,987",
,"2,027",645,"76,041",17.33,434.50,-56.20,65,432.20,435.40,325,"23,400.00",195,14.90,15.35,65,0.15,14.90,12.52,"18,60,489","22,106","1,06,545",
,"1,287",735,"48,472",16.30,387.20,-55.70,260,386.45,389.30,325,"23,450.00",65,18.90,19.10,260,-0.15,18.90,12.15,"11,62,846","20,542","41,120",
,"14,895","2,277","5,21,453",15.88,345.00,-52.60,260,343.05,344.60,325,"23,500.00",780,24.35,24.90,650,0.95,24.80,11.92,"35,60,576","21,692","1,59,245",
,"3,501","2,752","2,90,211",14.93,299.85,-53.30,260,299.35,300.70,325,"23,550.00",260,30.85,31.05,585,0.50,31.15,11.51,"17,81,595","22,379","43,324",
,"16,091","10,440","18,39,548",14.31,258.65,-51.90,260,257.65,258.75,325,"23,600.00",520,39.10,39.35,455,0.70,39.20,11.11,"46,36,723","41,557","1,21,750",
,"17,910","15,850","20,80,048",13.63,218.50,-53.20,260,218.95,219.80,325,"23,650.00",455,50.30,50.70,780,1.35,50.30,10.82,"35,27,879","41,166","62,179",
,"61,548","49,301","42,30,604",13.22,182.90,-50.15,195,182.80,183.65,715,"23,700.00",130,64.20,64.35,520,3.05,64.40,10.55,"56,57,061","49,654","1,27,850",
,"27,188","21,405","28,99,548",13.03,152.10,-46.90,260,151.30,151.75,325,"23,750.00",195,81.80,82.15,975,4.80,81.85,10.30,"34,25,179","31,973","59,894",
,"1,11,423","59,026","52,87,083",12.68,122.65,-43.40,260,122.30,122.85,520,"23,800.00",715,102.50,102.90,260,7.85,102.80,10.03,"42,57,749","2,877","1,24,560",
,"55,613","2,348","24,04,742",12.45,97.60,-41.25,260,97.35,97.65,195,"23,850.00",195,126.90,127.70,195,11.75,127.70,9.75,"10,88,015","-27,433","34,522",
,"90,726","-15,245","33,70,246",12.23,75.85,-38.65,325,75.75,76.05,715,"23,900.00",195,155.15,156.20,195,15.90,155.40,9.31,"9,90,589","-50,595","48,841",
,"45,670","-9,444","14,89,551",12.05,57.70,-35.40,260,58.05,58.10,260,"23,950.00",195,186.75,187.70,130,18.30,187.05,8.79,"2,36,663","-7,014","20,168",
,"2,07,372","8,169","36,82,197",12.07,44.30,-30.85,845,43.75,44.20,130,"24,000.00",780,222.70,224.00,520,22.70,223.75,8.30,"5,39,815","-24,529","72,119",
,"60,922","-4,771","11,85,470",12.17,34.00,-25.65,780,32.95,33.40,260,"24,050.00",195,261.15,263.20,195,28.65,262.00,7.06,"57,545","-4,950","10,754",
,"1,57,174","5,523","19,46,085",12.00,24.15,-22.85,260,24.05,24.50,260,"24,100.00",260,302.45,304.25,260,31.95,303.10,-,"99,702","-11,582","38,537",
,"64,389","-1,850","9,50,712",12.13,18.10,-18.80,780,18.05,18.25,520,"24,150.00",260,344.50,347.30,65,38.95,349.65,-,"22,057","-1,898","5,378",
,"2,03,857","5,766","18,43,347",12.40,14.00,-15.45,520,13.75,13.95,520,"24,200.00",65,390.80,393.65,65,34.20,388.05,-,"78,623","-16,856","42,731",
,"60,689","3,027","8,02,786",12.44,10.05,-13.10,260,10.05,10.85,520,"24,250.00",65,436.20,443.90,260,45.85,440.70,-,"8,277","-2,117","6,223",
,"1,37,715","10,053","11,75,867",12.77,7.90,-10.25,"1,235",7.90,8.10,"1,625","24,300.00",65,486.00,488.50,"1,625",43.00,486.15,-,"31,494","-5,692","18,060",
,"39,432","-18,071","6,19,106",13.00,6.00,-8.35,"2,925",6.00,6.50,"1,040","24,350.00",65,531.25,538.85,260,53.90,537.00,-,"3,874","-1,480","1,794",
,"1,09,035","5,619","10,92,700",13.45,5.00,-6.60,"25,285",5.00,5.30,"2,665","24,400.00","1,560",583.50,586.90,195,50.40,586.00,-,"5,092","-1,329","11,320",
,"31,819","-13,983","4,92,119",14.02,4.40,-4.95,"1,950",4.00,4.40,"1,235","24,450.00","1,495",631.55,637.70,260,52.40,631.65,-,532,-260,"1,229",
,"1,79,756","12,352","15,05,526",14.55,3.85,-4.10,65,3.65,3.90,"7,800","24,500.00",325,680.35,683.95,325,55.35,684.95,-,"19,437","-5,102","34,051",
,"31,650","-3,504","4,47,323",14.91,3.15,-3.45,520,2.85,3.15,130,"24,550.00","1,495",730.45,737.90,130,53.55,733.85,-,547,-312,"1,051",
,"80,862","-14,105","12,66,900",15.22,2.55,-2.90,"5,980",2.45,2.70,715,"24,600.00","1,625",780.70,787.70,130,56.05,779.90,-,"3,312","-1,679","4,393",
,"44,034",-222,"7,28,853",15.87,2.40,-2.20,390,2.10,2.35,65,"24,650.00",130,827.00,837.10,65,60.05,836.50,-,356,-24,571,
,"81,750","-27,160","11,29,008",16.33,2.10,-2.00,585,2.00,2.10,585,"24,700.00","1,755",879.75,887.25,65,64.95,885.25,-,"1,998","-1,280","2,398",
,"27,611","-3,498","4,37,085",16.80,1.85,-1.75,520,1.75,1.90,520,"24,750.00",65,928.60,937.15,65,61.35,935.75,-,68,8,511,
,"98,296",946,"9,12,804",17.34,1.70,-1.50,"1,885",1.55,1.75,195,"24,800.00","1,755",978.00,988.10,130,64.00,985.15,-,"2,292","-1,595","2,704",
,"20,744","-5,162","1,36,681",18.00,1.65,-1.30,780,1.45,1.75,"1,040","24,850.00",65,"1,022.15","1,036.90",65,49.45,"1,025.00",-,18,-8,294,
,"53,728",855,"3,95,335",18.26,1.35,-1.35,"5,590",1.35,1.50,325,"24,900.00",260,"1,075.40","1,090.50",130,73.90,"1,085.00",-,551,-294,"1,006",
,"19,272","-16,401","1,31,031",19.21,1.50,-1.05,260,1.30,1.50,"40,495","24,950.00",65,"1,123.80","1,138.70",65,-1.65,"1,068.45",-,-,-,198,
,"2,31,527","-15,414","9,45,928",19.57,1.30,-1.10,"63,765",1.25,1.30,195,"25,000.00",65,"1,176.25","1,182.00",325,52.15,"1,178.25",-,"6,447","-3,242","21,651",
,"10,021","-4,217","55,911",20.17,1.25,-0.90,"4,550",1.25,1.30,325,"25,050.00",65,"1,223.90","1,237.50",65,68.05,"1,247.05",-,5,-,37,
,"50,214","-22,392","2,30,970",20.75,1.20,-0.75,"1,300",1.10,1.20,585,"25,100.00",65,"1,278.25","1,285.10",130,53.15,"1,280.00",-,119,-104,592,
,"11,402","-3,777","43,754",21.33,1.15,-0.70,260,0.95,1.10,325,"25,150.00",780,"1,281.85","1,376.70",780,-,"1,276.35",-,-,-,30,
,"86,763","-6,000","2,93,244",21.27,0.85,-0.90,"4,095",0.85,0.90,"84,240","25,200.00",65,"1,368.30","1,408.50",780,48.30,"1,375.00",-,65,-56,"1,576",
,"16,459","1,941","35,994",21.77,0.80,-0.85,"36,465",0.80,0.90,"1,300","25,250.00",780,"1,324.30","1,474.75",780,-,"1,375.60",-,-,-,18,
,"94,534","17,348","3,36,549",22.26,0.75,-0.90,"3,01,405",0.70,0.75,"1,47,810","25,300.00",65,"1,466.50","1,520.50",780,59.00,"1,479.00",-,103,-76,265,
,"33,886","2,957","60,207",22.74,0.70,-0.90,"93,665",0.70,0.80,"21,320","25,350.00",65,"1,450.65","1,600.90",780,496.20,"1,676.20",59.22,4,-4,24,
,"55,606","-4,614","1,56,774",23.19,0.65,-0.75,"3,57,695",0.65,0.70,"2,09,625","25,400.00",195,"1,568.95","1,627.55",780,17.05,"1,560.00",-,9,-7,213,
,"11,742",83,"37,534",23.81,0.65,-0.70,"1,50,410",0.65,0.70,"70,265","25,450.00",65,"1,524.85","1,733.35",780,-,"1,500.00",-,-,-,3,
,"1,17,609","-72,277","4,24,637",24.43,0.65,-0.70,"4,05,275",0.65,0.70,"2,63,315","25,500.00",260,"1,677.20","1,682.55",65,48.80,"1,679.55",-,"5,886","-4,194","12,705",
,"11,401","-4,622","44,495",24.85,0.60,-0.55,"1,78,490",0.60,0.65,"9,230","25,550.00",780,"1,624.20","1,844.00",780,-,"1,208.30",-,-,-,11,
,"22,603","-12,210","76,118",25.46,0.60,-0.55,"67,340",0.60,0.65,"59,930","25,600.00",65,"1,701.60","1,838.45",650,45.00,"1,810.00",33.23,34,-32,190,
,"4,186","-5,991","35,729",26.28,0.65,-0.30,"6,955",0.60,0.65,"8,190","25,650.00",780,"1,766.10","1,922.55",780,-,"1,485.00",30.25,-,-,8,
,"11,343","-6,231","45,818",26.45,0.55,-0.45,"30,550",0.55,0.60,"56,680","25,700.00",780,"1,790.40","1,968.70",780,57.65,"1,890.00",-,43,-12,181,
,"2,488",-879,"12,730",27.50,0.65,-0.35,"21,515",0.55,0.65,"4,680","25,750.00",780,"1,811.95","2,041.60",780,92.35,"1,966.30",40.07,2,-1,10,
,"17,797","-2,979","96,610",27.40,0.50,-0.45,"56,420",0.50,0.55,"63,375","25,800.00",65,"1,955.05","1,987.50",65,38.00,"1,988.00",-,117,-75,323,
,"2,242",-68,"7,557",28.24,0.55,-0.45,"23,335",0.50,0.55,"16,445","25,850.00",780,"1,970.05","2,119.30",780,390.00,"2,050.00",-,1,-1,4,
,"6,074",-20,"14,939",28.57,0.50,-0.40,"1,32,470",0.45,0.50,"1,625","25,900.00",780,"1,946.65","2,170.50",780,140.00,"2,090.00",-,15,-11,58,
,"2,318",-502,"11,844",29.16,0.50,-0.30,"12,155",0.50,0.55,"10,400","25,950.00",780,"1,988.95","2,183.35",780,-,"2,074.80",-,-,-,8,
,"80,594","-6,148","2,18,989",29.45,0.45,-0.35,"5,16,815",0.45,0.50,"2,08,130","26,000.00",260,"2,178.05","2,188.55",130,47.05,"2,179.65",-,"8,364","-5,107","22,054",
,"2,888",-222,"8,831",30.03,0.45,-0.35,"8,320",0.45,0.50,"7,800","26,050.00",780,"2,121.95","2,285.35",780,-,"2,175.50",-,-,-,16,
,"4,691",-542,"21,650",30.60,0.45,-0.25,"4,15,090",0.40,0.45,"14,105","26,100.00",65,"2,270.00","2,413.90",780,72.90,"2,281.80",-,166,-159,382,
,"1,705",-755,"10,199",31.18,0.45,-0.25,"1,68,675",0.40,0.45,"8,970","26,150.00",780,"2,187.05","2,422.20",780,-,"2,060.00",-,-,-,1,
,"4,524","-1,324","27,831",31.75,0.45,-0.25,"28,015",0.45,0.50,"2,535","26,200.00",65,"2,336.45","2,396.70",65,54.20,"2,380.00",-,21,-5,599,
,"3,119",-403,"10,491",31.97,0.40,-0.25,"1,36,240",0.40,0.45,"24,700","26,250.00",780,"2,249.45","2,560.60",780,-,"1,770.65",24.86,-,-,1,
,"16,660","-2,585","71,450",32.53,0.40,-0.25,"2,18,465",0.40,0.45,"1,70,235","26,300.00",65,"2,465.60","2,500.50",780,58.85,"2,479.20",-,"1,537",-907,"7,069",
