=== MARKET SUMMARY ===
Underlying,NIFTY
Spot Price,23767.45
Futures Price,23830.0
Futures Premium,62.55
Basis %,0.26%
Expiry,28-Jul-26
Days To Expiry,4
Timestamp,2026-07-25 03:41:10
Risk-Free Rate,5.25%

=== KEY METRICS & EXPECTED MOVE ===
Overall PCR,2.29
ATM Strike,955
Max Pain Strike,22
ATM IV,14.25%
Expected Move,±354.55 pts
Upper Target Boundary,24122.0
Lower Target Boundary,23412.9
Annualized HV,14.85%

=== GREEKS TABLE ===
Strike,CE Delta,CE Gamma,CE Theta,CE Vega,PE Delta,PE Gamma,PE Theta,PE Vega
821,0.9999,0.0,-0.76,0.01,0.0,0.0,0.0,0.0
23,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
65,1.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
628,1.0,0.0,-0.37,0.0,0.0,0.0,0.0,0.0
325,1.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0
527,1.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0
482,1.0,0.0,-0.07,0.0,-0.0,0.0,-0.0,0.0
435,1.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0
389,1.0,0.0,-0.06,0.0,0.0,0.0,-0.0,0.0
260,1.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0
260,1.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0
260,1.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0
260,1.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0
195,1.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0
260,1.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0
260,1.0,0.0,-0.04,0.0,0.0,0.0,-0.0,0.0
325,1.0,0.0,-0.05,0.0,0.0,0.0,-0.0,0.0
260,1.0,0.0,-0.04,0.0,0.0,0.0,-0.0,0.0
780,1.0,0.0,-0.13,0.0,0.0,0.0,-0.0,0.0
780,1.0,0.0,-0.22,0.0,0.0,0.0,-0.0,0.0
260,1.0,0.0,-0.04,0.0,0.0,0.0,-0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
520,1.0,0.0,-0.07,0.0,-0.0,0.0,-0.0,0.0
5,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
585,1.0,0.0,-0.08,0.0,-0.0,0.0,-0.0,0.0
520,1.0,0.0,-0.07,0.0,-0.0,0.0,-0.07,0.0
885,1.0,0.0,-0.13,0.0,-0.0,0.0,-0.03,0.0
780,1.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0
590,1.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0
260,1.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0
550,1.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
4,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
465,1.0,0.0,-0.12,0.0,-0.0,0.0,-0.0,0.0
3,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
665,1.0,0.0,-0.39,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
410,1.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0
78,1.0,0.0,-0.01,0.0,0.0,0.0,-0.0,0.0
340,1.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0
955,0.9999,0.0,-1.91,0.01,-0.0,0.0,-0.08,0.0
550,1.0,0.0,-0.08,0.0,-0.0,0.0,-0.0,0.0
0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
420,1.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
470,1.0,0.0,-0.07,0.0,-0.0,0.0,-0.0,0.0
0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
90,1.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0
675,1.0,0.0,-0.1,0.0,-0.0,0.0,-0.01,0.0
15,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
240,1.0,0.0,-0.03,0.0,-0.0,0.0,-0.0,0.0
18,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0

=== COMPLETE OPTION CHAIN ===
STRIKE_PRICE,CE_OI,CE_CHG_OI,CE_VOLUME,CE_IV,CE_LTP,PE_LTP,PE_IV,PE_VOLUME,PE_CHG_OI,PE_OI
2.0,404.0,-100.0,110.0,50.14,2.0,260.0,0.6,0.65,33.0,865.0
2.0,2.0,0.0,0.0,0.0,2.0,810.0,0.6,0.65,2.0,15.0
2.0,3.0,0.0,1.0,0.0,2.0,655.0,0.6,0.65,1.0,235.0
421.55,1.0,0.0,0.0,0.0,2.0,1.0,625.0,0.65,0.7,3.0
2.0,31.0,0.0,0.0,106.25,2.0,610.0,0.6,0.75,910.0,-0.1
526.9,0.0,0.0,0.0,0.0,0.0,0.6,0.65,1.0,40.0,-0.15
2.0,0.0,0.0,0.0,0.0,0.0,2.0,860.0,0.65,0.75,4.0
2.0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,0.7,0.75,23.0
2.0,5.0,654.0,-586.0,2.0,397.0,500.0,2.0,275.0,0.7,0.8
2.0,0.0,0.0,0.0,0.0,0.0,650.0,0.75,0.9,1.0,170.0
2.0,0.0,0.0,0.0,0.0,0.0,65.0,0.8,0.9,2.0,535.0
2.0,1.0,0.0,0.0,0.0,1.0,820.0,0.75,0.95,1.0,950.0
2.0,0.0,0.0,0.0,62.77,0.0,4.0,550.0,0.8,0.9,1.0
158.4,0.0,0.0,0.0,0.0,0.0,1.1,910.0,-0.15,0.85,31.96
2.0,2.0,0.0,0.0,15.68,2.0,0.9,0.95,16.0,640.0,-0.15
2.0,1.0,0.0,0.0,0.0,2.0,0.75,1.1,650.0,-0.2,0.85
1.0,8.0,0.0,0.0,52.21,2.0,0.9,1.05,2.0,600.0,-0.3
1.0,7.0,5.0,6.0,50.85,1.0,365.0,0.9,1.25,260.0,-0.3
65.0,6.0,42.0,-1.0,885.0,3.0,22.0,0.0,56.0,290.0,1.05
1.0,1.0,0.0,0.0,76.5,1.0,0.95,1.2,650.0,-0.35,0.95
1.0,3.0,1.0,1.0,0.0,1.0,150.0,1.0,1.05,2.0,925.0
1.0,24.0,0.0,0.0,61.38,1.0,1.15,1.45,65.0,-0.45,0.95
1.0,28.0,-2.0,7.0,34.18,1.0,85.0,1.2,1.3,1.0,755.0
1.0,4.0,0.0,0.0,69.62,1.0,915.0,1.2,1.35,1.0,300.0
1.0,6.0,-2.0,2.0,30.19,1.0,485.0,1.3,1.4,1.0,300.0
1.0,4.0,0.0,0.0,44.15,1.0,300.0,1.2,1.9,1.0,300.0
1.0,11.0,0.0,1.0,45.36,1.0,70.0,1.4,1.65,390.0,-0.2
1.0,5.0,0.0,0.0,60.32,1.0,495.0,1.55,1.95,195.0,0.1
1.0,3.0,71.0,-123.0,1.0,293.0,500.0,1.0,300.0,1.85,2.0
1.0,4.0,0.0,0.0,0.0,1.0,1.85,2.0,4.0,615.0,0.15
1.0,30.0,-7.0,24.0,0.0,1.0,2.05,2.25,1.0,755.0,0.05
1.0,52.0,0.0,0.0,62.36,1.0,1.95,2.35,65.0,0.4,2.5
1.0,88.0,-1.0,27.0,30.9,1.0,365.0,2.2,2.75,390.0,0.4
1.0,71.0,3.0,29.0,33.28,1.0,2.6,2.75,1.0,690.0,0.4
1.0,279.0,-56.0,169.0,30.51,1.0,235.0,2.6,3.1,975.0,0.6
22.0,14.0,1.0,2.0,25.1,958.85,0.45,3.1,18.59,2.0,12.0
22.0,843.0,-4.0,149.0,27.19,920.0,1.0,300.0,0.7,3.65,18.17
22.0,23.0,1.0,21.0,21.63,855.05,0.35,3.6,17.26,3.0,22.0
821.25,7.0,358.0,-1.0,952.0,13.0,625.0,4.1,4.45,1.0,690.0
23.0,28.0,9.0,157.0,24.54,774.0,1.2,5.35,16.56,4.0,17.0
65.0,754.0,39.0,1.0,577.0,23.72,195.0,0.75,5.5,15.7,7.0
23.0,127.0,86.0,923.0,21.86,673.0,0.7,6.1,15.04,5.0,14.0
628.0,915.0,80.0,7.0,968.0,21.22,7.0,65.0,0.25,6.8,14.37
325.0,232.0,2.0,2.0,927.0,19.88,260.0,0.3,8.15,13.89,6.0
527.4,1.0,501.0,260.0,25.0,267.0,9.45,9.9,455.0,0.4,9.9
482.55,1.0,30.0,266.0,12.0,6.0,12.45,520.0,0.75,12.5,13.08
435.4,2.0,27.0,645.0,76.0,41.0,15.35,65.0,0.15,14.9,12.52
389.3,1.0,287.0,735.0,48.0,472.0,19.1,260.0,-0.15,18.9,12.15
260.0,14.0,895.0,2.0,277.0,5.0,780.0,24.35,24.9,650.0,0.95
260.0,3.0,501.0,2.0,752.0,2.0,260.0,30.85,31.05,585.0,0.5
260.0,16.0,91.0,10.0,440.0,18.0,520.0,39.1,39.35,455.0,0.7
260.0,17.0,910.0,15.0,850.0,20.0,455.0,50.3,50.7,780.0,1.35
195.0,61.0,548.0,49.0,301.0,42.0,130.0,64.2,64.35,520.0,3.05
260.0,27.0,188.0,21.0,405.0,28.0,195.0,81.8,82.15,975.0,4.8
260.0,55.0,613.0,2.0,348.0,24.0,195.0,126.9,127.7,195.0,11.75
325.0,90.0,726.0,-15.0,245.0,33.0,195.0,155.15,156.2,195.0,15.9
260.0,45.0,670.0,-9.0,444.0,14.0,195.0,186.75,187.7,130.0,18.3
780.0,60.0,922.0,-4.0,771.0,11.0,195.0,261.15,263.2,195.0,28.65
780.0,64.0,389.0,-1.0,850.0,9.0,260.0,344.5,347.3,65.0,38.95
260.0,60.0,689.0,3.0,27.0,8.0,65.0,436.2,443.9,260.0,45.85
2.0,39.0,432.0,-18.0,71.0,6.0,24.0,350.0,65.0,531.25,538.85
1.0,31.0,819.0,-13.0,983.0,4.0,24.0,450.0,1.0,495.0,631.55
520.0,31.0,650.0,-3.0,504.0,4.0,1.0,495.0,730.45,737.9,130.0
5.0,80.0,862.0,-14.0,105.0,12.0,600.0,1.0,625.0,780.7,787.7
2.1,44.0,34.0,-222.0,7.0,28.0,827.0,837.1,65.0,60.05,836.5
585.0,81.0,750.0,-27.0,160.0,11.0,1.0,755.0,879.75,887.25,65.0
520.0,27.0,611.0,-3.0,498.0,4.0,65.0,928.6,937.15,65.0,61.35
885.0,98.0,296.0,946.0,9.0,12.0,1.0,755.0,978.0,988.1,130.0
780.0,20.0,744.0,-5.0,162.0,1.0,850.0,65.0,1.0,22.15,1.0
590.0,53.0,728.0,855.0,3.0,95.0,260.0,1.0,75.4,1.0,90.5
260.0,19.0,272.0,-16.0,401.0,1.0,950.0,65.0,1.0,123.8,1.0
550.0,10.0,21.0,-4.0,217.0,55.0,65.0,1.0,223.9,1.0,237.5
1.0,50.0,214.0,-22.0,392.0,2.0,100.0,65.0,1.0,278.25,1.0
0.95,11.0,402.0,-3.0,777.0,43.0,1.0,281.85,1.0,376.7,780.0
4.0,86.0,763.0,-6.0,0.0,2.0,25.0,200.0,65.0,1.0,368.3
465.0,16.0,459.0,1.0,941.0,35.0,250.0,780.0,1.0,324.3,1.0
3.0,94.0,534.0,17.0,348.0,3.0,47.0,810.0,25.0,300.0,65.0
665.0,33.0,886.0,2.0,957.0,60.0,350.0,65.0,1.0,450.65,1.0
3.0,55.0,606.0,-4.0,614.0,1.0,9.0,625.0,25.0,400.0,195.0
410.0,11.0,742.0,83.0,37.0,534.0,450.0,65.0,1.0,524.85,1.0
78.0,11.0,401.0,-4.0,622.0,44.0,25.0,550.0,780.0,1.0,624.2
340.0,22.0,603.0,-12.0,210.0,76.0,600.0,65.0,1.0,701.6,1.0
955.0,4.0,186.0,-5.0,991.0,35.0,650.0,780.0,1.0,766.1,1.0
550.0,11.0,343.0,-6.0,231.0,45.0,700.0,780.0,1.0,790.4,1.0
0.55,2.0,488.0,-879.0,12.0,730.0,780.0,1.0,811.95,2.0,41.6
420.0,17.0,797.0,-2.0,979.0,96.0,800.0,65.0,1.0,955.05,1.0
0.5,2.0,242.0,-68.0,7.0,557.0,780.0,1.0,970.05,2.0,119.3
470.0,6.0,74.0,-20.0,14.0,939.0,900.0,780.0,1.0,946.65,2.0
0.5,2.0,318.0,-502.0,11.0,844.0,780.0,1.0,988.95,2.0,183.35
5.0,80.0,594.0,-6.0,148.0,2.0,8.0,130.0,26.0,0.0,260.0
0.45,2.0,888.0,-222.0,8.0,831.0,780.0,2.0,121.95,2.0,285.35
90.0,4.0,691.0,-542.0,21.0,650.0,100.0,65.0,2.0,270.0,2.0
675.0,1.0,705.0,-755.0,10.0,199.0,150.0,780.0,2.0,187.05,2.0
15.0,4.0,524.0,-1.0,324.0,27.0,200.0,65.0,2.0,336.45,2.0
240.0,3.0,119.0,-403.0,10.0,491.0,250.0,780.0,2.0,249.45,2.0
18.0,16.0,660.0,-2.0,585.0,71.0,235.0,26.0,300.0,65.0,2.0
